Segment,Count,Avg_Recency,Avg_Frequency,Avg_Monetary,Total_Revenue,Revenue_Percent
Champions,489,7.42,15.53,9047.8,4424373.61,49.78
Loyal Customers,422,24.44,7.94,3266.2,1378337.68,15.51
At Risk,449,106.22,4.68,2128.69,955780.72,10.75
About to Sleep,1504,186.57,1.25,508.82,765260.06,8.61
Potential Loyalists,246,9.18,3.31,2263.33,556779.15,6.26
Need Attention,450,28.6,3.05,1172.17,527476.76,5.94
Promising,349,33.45,1.31,311.82,108823.65,1.22
Others,154,70.5,2.79,468.04,72078.78,0.81
Recent Customers,183,10.26,1.45,340.66,62340.05,0.7
Lost,92,213.53,2.92,390.85,35958.43,0.4
